Date,Close,MarketCap,Volume,return_1d,return_7d,volatility_7d,m_averages_7,m_averages_30,momentum_30d,month,week,future_min,dip30
2013-12-27 00:00:00+00:00,734.27,8944473292.0,62881800.0,,,,,,,12,52,,0
2013-12-28 00:00:00+00:00,738.81,9002769255.0,28121600.0,0.006183011698693841,,,,,,12,52,,0
2013-12-29 00:00:00+00:00,726.47,8855251580.0,27018300.0,-0.016702535157888887,,,,,,12,52,,0
2013-12-30 00:00:00+00:00,760.52,9270681761.0,24717100.0,0.046870483295937904,,,,,,12,1,,0
2013-12-31 00:00:00+00:00,755.16,9205343763.0,21903500.0,-0.007047809393572857,,,,,,12,1,,0
2014-01-01 00:00:00+00:00,767.74,9358693020.0,23448600.0,0.016658721330579107,,,,,,1,1,,0
2014-01-02 00:00:00+00:00,772.53,9417082760.0,16837800.0,0.006239091359053761,,,750.7857142857143,,,1,1,,0
2014-01-03 00:00:00+00:00,825.47,10062417390.0,54171500.0,0.06852808305179092,0.12420499271385199,0.030260097223978006,763.8142857142857,,,1,1,,0
2014-01-04 00:00:00+00:00,849.14,10350952914.0,36344700.0,0.028674573273407722,0.14933474100242283,0.030083082203849774,779.5757142857143,,,1,1,,0
2014-01-05 00:00:00+00:00,919.41,11207538944.0,62414600.0,0.08275431613161555,0.2655856401503158,0.03295544088529093,807.1385714285714,,,1,1,,0
2014-01-06 00:00:00+00:00,936.38,11414401972.0,88584600.0,0.0184574890418856,0.2312365223794246,0.03295180848552523,832.2614285714286,,,1,2,,0
2014-01-07 00:00:00+00:00,826.5,10107681750.0,80268100.0,-0.11734552211708926,0.09447004608294929,0.06487107830277741,842.4528571428572,,,1,2,,0
2014-01-08 00:00:00+00:00,838.32,10256342208.0,78060300.0,0.014301270417423018,0.09193216453486852,0.06486625699149097,852.5357142857143,,,1,2,,0
2014-01-09 00:00:00+00:00,853.29,10443906952.0,58813600.0,0.017857142857142794,0.10453962952895024,0.06476775177843112,864.0728571428572,,,1,2,,0
2014-01-10 00:00:00+00:00,863.3,10570439442.0,29763600.0,0.011731064468117447,0.04582843713278484,0.060535483276490956,869.4771428571428,,,1,2,,0
2014-01-11 00:00:00+00:00,905.72,11094594497.0,48299500.0,0.04913703231785016,0.06663212191158108,0.06216879430997137,877.5600000000001,,,1,2,,0
2014-01-12 00:00:00+00:00,867.45,10630187711.0,40171100.0,-0.042253676632954984,-0.056514503866610055,0.055738629218468325,870.1371428571429,,,1,2,,0
2014-01-13 00:00:00+00:00,840.96,10309307616.0,42950500.0,-0.03053778315753075,-0.10190307353852068,0.05510015790409369,856.5057142857142,,,1,3,,0
2014-01-14 00:00:00+00:00,838.05,10276902394.0,23469400.0,-0.00346033105022836,0.013974591651542578,0.030997780140227853,858.1557142857143,,,1,3,,0
2014-01-15 00:00:00+00:00,860.44,10555404678.0,28600400.0,0.026716783008173817,0.02638610554442211,0.032127114484847175,861.3157142857143,,,1,3,,0
2014-01-16 00:00:00+00:00,837.98,10283900055.0,18719700.0,-0.026102924085351753,-0.01794231738330454,0.0332815119712815,859.1285714285714,,,1,3,,0
2014-01-17 00:00:00+00:00,812.9,9979241690.0,39266000.0,-0.029929115253347405,-0.058380632456851544,0.03410851714590783,851.9285714285714,,,1,3,,0
2014-01-18 00:00:00+00:00,840.0,10315662000.0,18052700.0,0.0333374338787058,-0.07256105639712052,0.029963551258049975,842.5400000000001,,,1,3,,0
2014-01-19 00:00:00+00:00,838.17,10293335273.0,17574100.0,-0.002178571428571474,-0.03375410686494906,0.026469668402858762,838.3571428571429,,,1,3,,0
2014-01-20 00:00:00+00:00,869.15,10677333920.0,25421600.0,0.03696147559564289,0.03352121385083717,0.027708878945737887,842.3842857142857,,,1,4,,0
2014-01-21 00:00:00+00:00,869.57,10686776168.0,26779700.0,0.00048323074267964117,0.03761112105482978,0.027546644464494202,846.8871428571429,,,1,4,,0
2014-01-22 00:00:00+00:00,865.03,10635024832.0,17879900.0,-0.005220971284658038,0.005334480033471145,0.026074154878801076,847.5428571428571,,,1,4,,0
2014-01-23 00:00:00+00:00,846.97,10417265166.0,18412100.0,-0.020877888628139996,0.010728179670159266,0.02522835492615606,848.8271428571428,,,1,4,,0
2014-01-24 00:00:00+00:00,808.32,9945387408.0,20176000.0,-0.04563325737629431,-0.005634149341862349,0.028944359137694716,848.172857142857,,,1,4,,0
2014-01-25 00:00:00+00:00,804.39,9900713656.0,31742800.0,-0.004861935866983469,-0.04239285714285712,0.024820382050658223,843.0857142857142,829.0803333333333,,1,4,726.47,0
2014-01-26 00:00:00+00:00,853.51,10508799200.0,22676800.0,0.061064906326533164,0.01830177648925635,0.03558059218580604,845.277142857143,833.055,0.1623925803859616,1,4,726.47,0
2014-01-27 00:00:00+00:00,891.86,10984370725.0,32539200.0,0.044932103900364506,0.026128976586319963,0.036945071582460305,848.5214285714285,838.1566666666665,0.2071574559088265,1,5,755.16,0
2014-01-28 00:00:00+00:00,777.0,9573533550.0,61878700.0,-0.12878702935438302,-0.10645491449797029,0.06257271151799224,835.2971428571428,839.841,0.06955552190730518,1,5,755.16,0
2014-01-29 00:00:00+00:00,816.85,10067676250.0,33409200.0,0.051287001287001255,-0.05569749026045334,0.06738393498279371,828.4142857142858,841.7186666666668,0.07406774312312625,1,5,767.74,0
2014-01-30 00:00:00+00:00,817.17,10074827642.0,16261700.0,0.0003917487910876094,-0.035184245014581506,0.06708671866406338,824.157142857143,843.7856666666667,0.08211504846655004,1,5,772.53,0
2014-01-31 00:00:00+00:00,817.93,10087796517.0,31107400.0,0.0009300390371649314,0.01188885589865385,0.06442043074452372,825.53,845.4586666666667,0.0653736942193972,1,5,777.0,0
2014-02-01 00:00:00+00:00,832.52,10271715012.0,14722200.0,0.017837712273666595,0.03497059883887177,0.06449680351368864,829.5485714285714,847.4583333333334,0.07765394224172528,2,5,777.0,0
2014-02-02 00:00:00+00:00,836.41,10323662258.0,19347600.0,0.004672560418968796,-0.02003491464657714,0.05995203978173211,827.1057142857143,847.823,0.013253055834857586,2,5,777.0,0
2014-02-03 00:00:00+00:00,813.38,10043290888.0,12759200.0,-0.027534343204887568,-0.08799587379185081,0.05682378773633197,815.8942857142857,846.631,-0.042113196881550685,2,6,777.0,0
2014-02-04 00:00:00+00:00,832.36,10281144248.0,14823400.0,0.023334726696009334,0.07124839124839122,0.024343142744125017,823.8028571428571,843.7293333333333,-0.09468028409523499,2,6,777.0,0
2014-02-05 00:00:00+00:00,830.92,10267242207.0,15706200.0,-0.0017300206641357452,0.017224704658137968,0.016334485428473634,825.8128571428571,840.2139999999999,-0.11262521625835664,2,6,777.0,0
2014-02-06 00:00:00+00:00,805.08,9951171213.0,47441900.0,-0.031098059981706894,-0.014794963104372338,0.02076551524853596,824.0857142857142,839.5,-0.0259165154264972,2,6,721.32,0
2014-02-07 00:00:00+00:00,721.32,8918941470.0,65733100.0,-0.10403935012669552,-0.11811524213563496,0.04364435168974803,810.2842857142858,835.6,-0.13956484397366165,2,6,701.61,0
2014-02-08 00:00:00+00:00,701.61,8678266711.0,86940400.0,-0.027324904342039602,-0.15724547158026225,0.04089876320085535,791.5828571428572,830.544,-0.17775902682558098,2,6,672.07,0
2014-02-09 00:00:00+00:00,672.07,8315656524.0,34864400.0,-0.04210316272573078,-0.19648258629141202,0.03934146039215613,768.1057142857143,824.1696666666667,-0.22151048303023269,2,6,672.07,0
2014-02-10 00:00:00+00:00,689.65,8535556672.0,38527400.0,0.02615798949514181,-0.15211832107993806,0.04477704146683892,750.4300000000001,816.9673333333334,-0.23856158636223124,2,7,672.07,0
2014-02-11 00:00:00+00:00,697.76,8638931672.0,121884000.0,0.011759588196911475,-0.16170887596712968,0.042984421884011276,731.2014285714286,811.311,-0.1956193440544124,2,7,655.26,0
2014-02-12 00:00:00+00:00,655.26,8115968452.0,65970400.0,-0.06090919513872961,-0.2114042266403504,0.04367607885232746,706.1071428571429,805.121,-0.22081906392694073,2,7,651.91,0
2014-02-13 00:00:00+00:00,651.91,8077474557.0,19109100.0,-0.005112474437627856,-0.1902543846574254,0.04490298769014761,684.2257142857143,798.9163333333332,-0.22211085257442875,2,7,623.57,0
2014-02-14 00:00:00+00:00,623.57,7729134561.0,90917600.0,-0.04347225844058211,-0.1355154439083902,0.03195684308902381,670.2614285714286,791.0206666666667,-0.2752893868253452,2,7,623.57,0
2014-02-15 00:00:00+00:00,644.1,7986582360.0,57350800.0,0.032923328575781285,-0.08196861504254493,0.0373572913176493,662.0457142857142,784.5580000000001,-0.23136590372085253,2,7,613.85,0
